transactionid,saledate,receiptnumber,servicecharge,servicechargevat,transactionexcludevat,servicechargepercent,vatpercent,otheramountdiscount,totalproductamount,totalpayamount
46128,2019-02-13,033022019/130025,32850.0000,3285.0000,43800.0000,7.5000,10.0000,0.0000,9.0000,517935.0000
46129,2019-02-13,033022019/130032,66600.0000,6660.0000,88800.0000,7.5000,10.0000,0.0000,14.0000,1050060.0000
46130,2019-02-13,033022019/130033,8325.0000,833.0000,11100.0000,7.5000,10.0000,0.0000,4.0000,131258.0000
46129,2019-02-13,033022019/130032,66600.0000,6660.0000,88800.0000,7.5000,10.0000,0.0000,14.0000,1050060.0000
46130,2019-02-13,033022019/130033,8325.0000,833.0000,11100.0000,7.5000,10.0000,0.0000,4.0000,131258.0000
14552,2019-02-13,033022019/130034,2625.0000,263.0000,3500.0000,7.5000,10.0000,0.0000,1.0000,41388.0000
14552,2019-02-13,033022019/130034,2625.0000,263.0000,3500.0000,7.5000,10.0000,0.0000,1.0000,41388.0000
46131,2019-02-13,033022019/130035,38475.0000,3848.0000,51300.0000,7.5000,10.0000,0.0000,10.0000,606623.0000
46131,2019-02-13,033022019/130035,38475.0000,3848.0000,41040.0000,7.5000,10.0000,0.0000,10.0000,493763.0000
78099,2019-02-13,033022019/130036,12375.0000,1238.0000,16500.0000,7.5000,10.0000,0.0000,4.0000,195113.0000
78099,2019-02-13,033022019/130036,12375.0000,1238.0000,16500.0000,7.5000,10.0000,0.0000,4.0000,195113.0000
78092,2019-02-13,033022019/130031,23475.0000,2348.0000,31300.0000,7.5000,10.0000,0.0000,9.0000,370123.0000
78092,2019-02-13,033022019/130031,23475.0000,2348.0000,31300.0000,7.5000,10.0000,0.0000,9.0000,370123.0000
78097,2019-02-13,033022019/130030,12300.0000,1230.0000,16400.0000,7.5000,10.0000,0.0000,5.0000,193930.0000
46128,2019-02-13,033022019/130025,32850.0000,3285.0000,43800.0000,7.5000,10.0000,0.0000,9.0000,517935.0000
78093,2019-02-13,033022019/130026,12150.0000,1215.0000,16200.0000,7.5000,10.0000,0.0000,5.0000,191565.0000
78093,2019-02-13,033022019/130026,12150.0000,1215.0000,16200.0000,7.5000,10.0000,0.0000,5.0000,191565.0000
78094,2019-02-13,033022019/130027,28200.0000,2820.0000,37600.0000,7.5000,10.0000,0.0000,7.0000,444620.0000
78094,2019-02-13,033022019/130027,28200.0000,2820.0000,37600.0000,7.5000,10.0000,0.0000,7.0000,444620.0000
78096,2019-02-13,033022019/130028,8850.0000,885.0000,11800.0000,7.5000,10.0000,0.0000,4.0000,139535.0000
78096,2019-02-13,033022019/130028,8850.0000,885.0000,11800.0000,7.5000,10.0000,0.0000,4.0000,139535.0000
78097,2019-02-13,033022019/130030,12300.0000,1230.0000,16400.0000,7.5000,10.0000,0.0000,5.0000,193930.0000
14551,2019-02-13,033022019/130029,4200.0000,420.0000,5600.0000,7.5000,10.0000,0.0000,2.0000,66220.0000
14551,2019-02-13,033022019/130029,4200.0000,420.0000,5600.0000,7.5000,10.0000,0.0000,2.0000,66220.0000
46132,2019-02-13,033022019/130037,9225.0000,923.0000,12300.0000,7.5000,10.0000,0.0000,3.0000,145448.0000
46132,2019-02-13,033022019/130037,9225.0000,923.0000,12300.0000,7.5000,10.0000,0.0000,3.0000,145448.0000
78103,2019-02-13,033022019/130044,8625.0000,863.0000,11500.0000,7.5000,10.0000,0.0000,2.0000,135988.0000
78103,2019-02-13,033022019/130044,8625.0000,863.0000,11500.0000,7.5000,10.0000,0.0000,2.0000,135988.0000
46135,2019-02-13,033022019/130045,27975.0000,2798.0000,37300.0000,7.5000,10.0000,0.0000,8.0000,441073.0000
78104,2019-02-13,033022019/130046,12000.0000,1200.0000,16000.0000,7.5000,10.0000,0.0000,4.0000,189200.0000
46135,2019-02-13,033022019/130045,27975.0000,2798.0000,29840.0000,7.5000,10.0000,0.0000,8.0000,359013.0000
78104,2019-02-13,033022019/130046,12000.0000,1200.0000,16000.0000,7.5000,10.0000,0.0000,4.0000,189200.0000
14553,2019-02-13,033022019/130047,13725.0000,1373.0000,18300.0000,7.5000,10.0000,0.0000,4.0000,216398.0000
14553,2019-02-13,033022019/130047,13725.0000,1373.0000,18300.0000,7.5000,10.0000,0.0000,4.0000,216398.0000
78105,2019-02-13,033022019/130048,15300.0000,1530.0000,20400.0000,7.5000,10.0000,0.0000,4.0000,241230.0000
