SaleNumber,ReceiptNumber,TransactionDate,AmountTransaksi,AmountService,Tax,OtherIncome,SaleDate,OutletCode,OutletName,ShopID
03392019/140001,03392019/140001,09/14/2019 10:17:08,69000,5175.0000,7418.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140002,03392019/140002,09/14/2019 10:51:09,207000,15525.0000,22253.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140003,03392019/140003,09/14/2019 10:52:47,54000,4050.0000,5805.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140004,03392019/140004,09/14/2019 11:55:27,233000,17475.0000,25048.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140005,03392019/140005,09/14/2019 12:05:23,331000,24825.0000,35583.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140006,03392019/140006,09/14/2019 12:16:08,23000,1725.0000,2473.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140007,03392019/140007,09/14/2019 12:39:05,943000,70725.0000,101373.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140008,03392019/140008,09/14/2019 12:58:30,603000,45225.0000,64823.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140009,03392019/140009,09/14/2019 13:04:12,513000,38475.0000,55148.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140010,03392019/140010,09/14/2019 13:06:23,314000,23550.0000,33755.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140011,03392019/140011,09/14/2019 13:10:16,234000,17550.0000,25155.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140012,03392019/140012,09/14/2019 13:13:32,167000,12525.0000,17953.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140013,03392019/140013,09/14/2019 13:15:14,824000,61800.0000,88580.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140014,03392019/140014,09/14/2019 13:17:05,68000,5100.0000,7310.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140015,03392019/140015,09/14/2019 13:17:55,253000,18975.0000,27198.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140016,03392019/140016,09/14/2019 13:19:36,318000,23850.0000,34185.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140017,03392019/140017,09/14/2019 13:25:14,343000,25725.0000,36873.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140018,03392019/140018,09/14/2019 13:29:13,226000,16950.0000,24295.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140019,03392019/140019,09/14/2019 13:35:33,358000,26850.0000,38485.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140020,03392019/140020,09/14/2019 13:38:21,572000,42900.0000,61490.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
03392019/140021,03392019/140021,09/14/2019 13:41:03,241000,18075.0000,25908.000000,0.0000,2019-09-14,033,[PLB]ST PALEMBANG,8
